Data,Hora,Programa,Episódio,Nº do episódio,Media
10/03/2026,01:22,Programa Livre,Programa de 05/11/1992,70,f2784188-6c1a-4dc9-a24e-bc7134e4dd81
10/03/2026,01:37,Casos de Família,Programa de 23/06/2009,87,6373495137112
10/03/2026,02:30,Máquina da Fama,Programa de 09/06/2014,22,6375767809112
10/03/2026,03:29,Passa ou Repassa,Programa de 07/08/1994,28,6362513941112
10/03/2026,04:06,Táxi do Gugu,O escapamento,21,83a5bf88-48fb-47fe-8d7f-6720e4a2c20b
10/03/2026,04:16,Show do Milhão,Programa de 04/04/2001,167,8f03d30b-60a0-4f4d-8ae9-0ad5d86a657d
10/03/2026,05:13,Sete Meio ,Programa de 01/06/2003,9,6376343599112
10/03/2026,06:19,Programa do Ratinho,Programa de 22/10/98,Episódio 38,98008609_programadoratinho_1998_038_01
10/03/2026,08:03,Eliana & Cia,Programa de 08/10/1997,124,77f2fb51-5b37-4fa9-af7c-78f3c2710685
10/03/2026,08:43,Táxi do Gugu,Gugu demitido ,24,c73b2d09-9ec4-4ecb-9509-cc6639bdc686
10/03/2026,09:03,Programa Livre,Programa de 05/11/1992,70,f2784188-6c1a-4dc9-a24e-bc7134e4dd81
10/03/2026,09:35,Casos de Família,Programa de 23/06/2009,87,6373495137112
10/03/2026,10:29,Máquina da Fama,Programa de 09/06/2014,22,6375767809112
10/03/2026,11:27,Passa ou Repassa,Programa de 07/08/1994,28,6362513941112
10/03/2026,12:04,Táxi do Gugu,O escapamento,21,83a5bf88-48fb-47fe-8d7f-6720e4a2c20b
10/03/2026,12:15,Show do Milhão,Programa de 04/04/2001,167,8f03d30b-60a0-4f4d-8ae9-0ad5d86a657d
10/03/2026,13:12,Sete Meio ,Programa de 01/06/2003,9,6376343599112
10/03/2026,14:18,Programa do Ratinho,Programa de 22/10/98,Episódio 38,98008609_programadoratinho_1998_038_01
10/03/2026,16:02,Eliana & Cia,Programa de 08/10/1997,124,77f2fb51-5b37-4fa9-af7c-78f3c2710685
10/03/2026,16:41,Táxi do Gugu,Gugu demitido ,24,c73b2d09-9ec4-4ecb-9509-cc6639bdc686
10/03/2026,17:01,Programa Livre,Programa de 05/11/1992,70,f2784188-6c1a-4dc9-a24e-bc7134e4dd81
10/03/2026,17:34,Casos de Família,Programa de 23/06/2009,87,6373495137112
10/03/2026,18:27,Máquina da Fama,Programa de 09/06/2014,22,6375767809112
10/03/2026,19:26,Passa ou Repassa,Programa de 07/08/1994,28,6362513941112
10/03/2026,20:03,Táxi do Gugu,O escapamento,21,83a5bf88-48fb-47fe-8d7f-6720e4a2c20b
10/03/2026,20:13,Show do Milhão,Programa de 04/04/2001,167,8f03d30b-60a0-4f4d-8ae9-0ad5d86a657d
10/03/2026,21:10,Sete Meio ,Programa de 01/06/2003,9,6376343599112
10/03/2026,22:16,Programa do Ratinho,Programa de 22/10/98,Episódio 38,98008609_programadoratinho_1998_038_01
11/03/2026,00:01,Eliana & Cia,Programa de 09/10/1997,125,0eb9bb08-7270-47be-b794-46836219878e
11/03/2026,00:50,Táxi do Gugu,114. Os falsos policiais,114,6368324690112
11/03/2026,00:57,Programa Livre,Programa de 06/11/1992,71,6667ee50-0e5d-4a53-a09b-922006c45e5c
11/03/2026,02:00,Casos de Família,Programa de 24/06/2009,88,6373492980112
11/03/2026,02:54,"Canta e Dança, Minha Gente",Programa de 21/11/1999,Programa de 21/11/1999,6348924282112
11/03/2026,03:53,TV Animal,Programa de 16/11/1995,29,6365801091112
11/03/2026,04:38,Show do Milhão,Programa de 05/04/2001,168,b52cf8bd-d131-4724-981d-f0cedac036dd
11/03/2026,05:48,Porta da Esperança,Programa de 17/05/1987,8,6362546115112
11/03/2026,06:49,Programa do Ratinho,Programa de 23/10/98,Episódio 39,98008609_programadoratinho_1998_039_01
11/03/2026,08:02,Eliana & Cia,Programa de 09/10/1997,125,0eb9bb08-7270-47be-b794-46836219878e
11/03/2026,08:52,Táxi do Gugu,114. Os falsos policiais,114,6368324690112
11/03/2026,08:58,Programa Livre,Programa de 06/11/1992,71,6667ee50-0e5d-4a53-a09b-922006c45e5c
11/03/2026,10:02,Casos de Família,Programa de 24/06/2009,88,6373492980112
11/03/2026,10:55,"Canta e Dança, Minha Gente",Programa de 21/11/1999,Programa de 21/11/1999,6348924282112
11/03/2026,11:54,TV Animal,Programa de 16/11/1995,29,6365801091112
11/03/2026,12:40,Show do Milhão,Programa de 05/04/2001,168,b52cf8bd-d131-4724-981d-f0cedac036dd
11/03/2026,13:50,Porta da Esperança,Programa de 17/05/1987,8,6362546115112
11/03/2026,14:50,Programa do Ratinho,Programa de 23/10/98,Episódio 39,98008609_programadoratinho_1998_039_01
11/03/2026,16:03,Eliana & Cia,Programa de 09/10/1997,125,0eb9bb08-7270-47be-b794-46836219878e
11/03/2026,16:53,Táxi do Gugu,114. Os falsos policiais,114,6368324690112
11/03/2026,16:59,Programa Livre,Programa de 06/11/1992,71,6667ee50-0e5d-4a53-a09b-922006c45e5c
11/03/2026,18:03,Casos de Família,Programa de 24/06/2009,88,6373492980112
11/03/2026,18:57,"Canta e Dança, Minha Gente",Programa de 21/11/1999,Programa de 21/11/1999,6348924282112
11/03/2026,19:55,TV Animal,Programa de 16/11/1995,29,6365801091112
11/03/2026,20:37,Show do Milhão,Programa de 05/04/2001,168,b52cf8bd-d131-4724-981d-f0cedac036dd
11/03/2026,21:47,Porta da Esperança,Programa de 17/05/1987,8,6362546115112
11/03/2026,22:49,Programa do Ratinho,Programa de 23/10/98,Episódio 39,98008609_programadoratinho_1998_039_01
12/03/2026,00:02,"Cazalbé, o Herdeiro da Graça","1. Filho de Peixe, Peixinho É!",1,6359585845112
12/03/2026,00:42,"Cazalbé, o Herdeiro da Graça",2. Startup de Talentos,2,6359699597112
12/03/2026,01:25,"Cazalbé, o Herdeiro da Graça",3. As Conversas na Sala de Jantar,3,6359700286112
12/03/2026,02:01,"Cazalbé, o Herdeiro da Graça",4. O Melhor Guerreiro da Tribo,4,6359702164112
12/03/2026,02:37,"Cazalbé, o Herdeiro da Graça",5. O Bom Filho à Casa Torna,5,6359702977112
12/03/2026,03:17,Em Nome do Amor,Programa de 19/12/1999,72,6364702292112
12/03/2026,04:37,Especial Carlos Alberto,Hebe e Carlos Alberto de Nóbrega (10/03/2008) - NOVO,2,337f9aec-d03d-4419-b261-405947f6deda
12/03/2026,04:59,De Frente com Gabi,Programa de 14/08/2011,,19c609fb-0649-4fa1-b2d2-de6b78a7b3b9
12/03/2026,05:51,Especial Carlos Alberto,Especial 25 anos da Praça é Nossa (03/05/2012),2,c82d88d9-9762-4382-a626-9b5e75f99d0e
12/03/2026,06:35,The Noite com Danilo Gentili,Programa de 11/05/2017,,d82d5fc7-f099-4a9a-8c74-08c94595b9fd
12/03/2026,07:11,Especial Carlos Alberto,Especial 80 anos Carlos Alberto (08/05/2016),4,6aa6e98a-080b-4cc5-81bb-2636a011cd3a
12/03/2026,08:11,Especial Carlos Alberto,Quadro Rede da Fama (16/03/2014),3,a2355d57-2291-4bf3-a977-e84089a369bd
12/03/2026,09:30,Programa da Maisa,Programa de 01/06/2019,12,6345115752112
12/03/2026,10:35,Especial Carlos Alberto,Eliana especial 83 anos (10/03/2019),5,45376e5b-7c5d-4698-b60c-ae1b607188f8
12/03/2026,12:30,Em Nome do Amor,Programa de 19/12/1999,72,6364702292112
12/03/2026,13:45,Especial Carlos Alberto,Hebe e Carlos Alberto de Nóbrega (10/03/2008) - NOVO,2,337f9aec-d03d-4419-b261-405947f6deda
12/03/2026,14:07,De Frente com Gabi,Programa de 14/08/2011,,19c609fb-0649-4fa1-b2d2-de6b78a7b3b9
12/03/2026,14:59,Especial Carlos Alberto,Especial 25 anos da Praça é Nossa (03/05/2012),2,c82d88d9-9762-4382-a626-9b5e75f99d0e
12/03/2026,15:43,The Noite com Danilo Gentili,Programa de 11/05/2017,,d82d5fc7-f099-4a9a-8c74-08c94595b9fd
12/03/2026,16:19,Especial Carlos Alberto,Especial 80 anos Carlos Alberto (08/05/2016),4,6aa6e98a-080b-4cc5-81bb-2636a011cd3a
12/03/2026,17:19,Especial Carlos Alberto,Quadro Rede da Fama (16/03/2014),3,a2355d57-2291-4bf3-a977-e84089a369bd
