Data,Hora,Programa,Episódio,Nº do episódio,Media
13/05/2026,19:18,TV Animal,Programa de 06/12/1995,38,6366373572112
13/05/2026,19:36,Táxi do Gugu,54. Aranha,54,6368324479112
13/05/2026,19:58,Canta e Dança Minha Gente,Programa de 28/05/2000,14,6361848364112
13/05/2026,20:52,Show do Milhão,Programa de 25/07/2001,214,18c8764b-c940-4d1c-a41f-6ef90ff49ec7
13/05/2026,21:55,Porta da Esperança,Programa de 06/03/1988,2,6362546308112
13/05/2026,22:45,Táxi do Gugu,O comilão ,22,c3d7252d-43f4-4f00-9522-8177e51260f0
13/05/2026,23:05,Programa do Ratinho,Programa de 18/09/1998,10,6376554254112
14/05/2026,00:03,Eliana & Cia,Programa de 02/05/1997,10,6366857978112
14/05/2026,00:28,Eliana & Cia,Programa de 05/05/1997,11,6366859422112
14/05/2026,00:53,Programa Livre,Programa de 12/12/1991,92,6352187153112
14/05/2026,01:52,Casos de Família,Programa de 19/05/2009,12,6371487703112
14/05/2026,02:44,Passa ou Repassa,Programa de 01/12/1995,62,6366911193112
14/05/2026,03:15,Passa ou Repassa,Programa de 02/01/1996 ,68,6366912065112
14/05/2026,03:45,Táxi do Gugu,60. A macacada,60,6368326437112
14/05/2026,03:59,Vamos Nessa,Programa de 30/01/1983,1,6375688728112
14/05/2026,04:42,Táxi do Gugu,28. Mala de dinheiro,28,6368325363112
14/05/2026,04:57,Show do Milhão,Programa de 26/07/2001,215,f7c78430-a8b5-4d49-855d-5085e4b2b769
14/05/2026,06:12,Tentação,Programa de 09/07/1995,28,6375501786112
14/05/2026,07:06,Programa do Ratinho,Programa de 19/09/1998,11,6376589457112
14/05/2026,07:56,Bozo,Bozo,,FILLER_BOZO_09
14/05/2026,08:02,Eliana & Cia,Programa de 02/05/1997,10,6366857978112
14/05/2026,08:27,Eliana & Cia,Programa de 05/05/1997,11,6366859422112
14/05/2026,08:52,Programa Livre,Programa de 12/12/1991,92,6352187153112
14/05/2026,09:51,Casos de Família,Programa de 19/05/2009,12,6371487703112
14/05/2026,10:43,Passa ou Repassa,Programa de 01/12/1995,62,6366911193112
14/05/2026,11:14,Passa ou Repassa,Programa de 02/01/1996 ,68,6366912065112
14/05/2026,11:44,Táxi do Gugu,60. A macacada,60,6368326437112
14/05/2026,11:58,Vamos Nessa,Programa de 30/01/1983,1,6375688728112
14/05/2026,12:40,Táxi do Gugu,28. Mala de dinheiro,28,6368325363112
