Data,Hora,Programa,Episódio,Nº do episódio,Media
25/03/2026,01:36,Programa Livre,Programa de 01/03/1993,81,133323b9-3369-47b7-9648-ac79c68de178
25/03/2026,02:16,Casos de Família,Programa de 08/07/2009,98,6376593819112
25/03/2026,03:10,Canta e Dança Minha Gente,Programa de 19/12/1999,5,6349825179112
25/03/2026,03:43,Táxi do Gugu,54. Aranha,54,6368324479112
25/03/2026,04:05,TV Animal,Programa de 20/11/1995,31,6365678566112
25/03/2026,04:47,Show do Milhão,Programa de 25/04/2001,178,0cf9a5aa-653d-44ec-bd4a-88c7db3c6655
25/03/2026,06:07,Porta da Esperança,Programa de 28/06/1987,10,6362545918112
25/03/2026,07:06,Programa do Ratinho,Programa de 18/09/1998,10,6376554254112
25/03/2026,07:59,Eliana & Cia,Programa de 22/10/1997,134,5c53ffb0-a57f-4883-b304-8837a93bc01b
25/03/2026,08:38,Eliana & Cia,Programa de 23/10/1997,135,98973b89-2509-4e68-87c9-23f3b089bc43
25/03/2026,09:18,Programa Livre,Programa de 01/03/1993,81,133323b9-3369-47b7-9648-ac79c68de178
25/03/2026,10:15,Casos de Família,Programa de 08/07/2009,98,6376593819112
25/03/2026,11:08,Canta e Dança Minha Gente,Programa de 19/12/1999,5,6349825179112
25/03/2026,11:41,Táxi do Gugu,54. Aranha,54,6368324479112
25/03/2026,12:03,TV Animal,Programa de 20/11/1995,31,6365678566112
25/03/2026,12:45,Show do Milhão,Programa de 25/04/2001,178,0cf9a5aa-653d-44ec-bd4a-88c7db3c6655
25/03/2026,14:05,Porta da Esperança,Programa de 28/06/1987,10,6362545918112
25/03/2026,15:04,Programa do Ratinho,Programa de 18/09/1998,10,6376554254112
25/03/2026,16:00,Eliana & Cia,Programa de 22/10/1997,134,5c53ffb0-a57f-4883-b304-8837a93bc01b
25/03/2026,16:39,Eliana & Cia,Programa de 23/10/1997,135,98973b89-2509-4e68-87c9-23f3b089bc43
25/03/2026,17:19,Programa Livre,Programa de 01/03/1993,81,133323b9-3369-47b7-9648-ac79c68de178
25/03/2026,18:15,Casos de Família,Programa de 08/07/2009,98,6376593819112
25/03/2026,19:09,Canta e Dança Minha Gente,Programa de 19/12/1999,5,6349825179112
25/03/2026,19:42,Táxi do Gugu,54. Aranha,54,6368324479112
25/03/2026,20:04,TV Animal,Programa de 20/11/1995,31,6365678566112
25/03/2026,20:46,Show do Milhão,Programa de 25/04/2001,178,0cf9a5aa-653d-44ec-bd4a-88c7db3c6655
25/03/2026,22:05,Porta da Esperança,Programa de 28/06/1987,10,6362545918112
25/03/2026,23:05,Programa do Ratinho,Programa de 18/09/1998,10,6376554254112
26/03/2026,00:01,Eliana & Cia,Programa de 23/10/1997,135,98973b89-2509-4e68-87c9-23f3b089bc43
26/03/2026,00:41,Eliana & Cia,Programa de 24/10/1997,136,678cecd0-be08-4832-b5e3-90c5030fd17a
26/03/2026,01:20,Programa Livre,Programa de 12/03/1993,82,19784a34-ab66-4154-a7b6-8e34428c3cd7
26/03/2026,02:18,Casos de Família,Programa de 09/07/2009,99,6376594209112
26/03/2026,03:10,Vamos Nessa,Programa de 05/01/1985,17,0e42c561-0da7-4e3b-b87d-efce30ffd090
26/03/2026,04:01,Passa ou Repassa,Programa de 30/11/1995,61,6366911295112
26/03/2026,04:35,Táxi do Gugu,35. A flor,35,6368324585112
26/03/2026,04:58,Show do Milhão,Programa de 26/04/2001,179,2896457f-ec6c-4b80-93ba-b809332860c7
26/03/2026,06:13,Tentação,Programa de 21/05/1995,21,6374622676112
26/03/2026,06:48,Táxi do Gugu,5. Arrancar Braço,5,6368324586112
26/03/2026,07:12,Programa do Ratinho,Programa de 19/09/1998,11,6376589457112
26/03/2026,08:03,Eliana & Cia,Programa de 23/10/1997,135,98973b89-2509-4e68-87c9-23f3b089bc43
26/03/2026,08:43,Eliana & Cia,Programa de 24/10/1997,136,678cecd0-be08-4832-b5e3-90c5030fd17a
26/03/2026,09:22,Programa Livre,Programa de 12/03/1993,82,19784a34-ab66-4154-a7b6-8e34428c3cd7
26/03/2026,10:20,Casos de Família,Programa de 09/07/2009,99,6376594209112
26/03/2026,11:13,Vamos Nessa,Programa de 05/01/1985,17,0e42c561-0da7-4e3b-b87d-efce30ffd090
26/03/2026,12:03,Passa ou Repassa,Programa de 30/11/1995,61,6366911295112
26/03/2026,12:37,Táxi do Gugu,35. A flor,35,6368324585112
26/03/2026,13:00,Show do Milhão,Programa de 26/04/2001,179,2896457f-ec6c-4b80-93ba-b809332860c7
26/03/2026,14:16,Tentação,Programa de 21/05/1995,21,6374622676112
26/03/2026,14:50,Táxi do Gugu,5. Arrancar Braço,5,6368324586112
26/03/2026,15:14,Programa do Ratinho,Programa de 19/09/1998,11,6376589457112
26/03/2026,16:05,Eliana & Cia,Programa de 23/10/1997,135,98973b89-2509-4e68-87c9-23f3b089bc43
26/03/2026,16:45,Eliana & Cia,Programa de 24/10/1997,136,678cecd0-be08-4832-b5e3-90c5030fd17a
26/03/2026,17:24,Programa Livre,Programa de 12/03/1993,82,19784a34-ab66-4154-a7b6-8e34428c3cd7
26/03/2026,18:22,Casos de Família,Programa de 09/07/2009,99,6376594209112
26/03/2026,19:15,Vamos Nessa,Programa de 05/01/1985,17,0e42c561-0da7-4e3b-b87d-efce30ffd090
26/03/2026,20:05,Passa ou Repassa,Programa de 30/11/1995,61,6366911295112
26/03/2026,20:39,Táxi do Gugu,35. A flor,35,6368324585112
26/03/2026,21:02,Show do Milhão,Programa de 26/04/2001,179,2896457f-ec6c-4b80-93ba-b809332860c7
26/03/2026,22:18,Tentação,Programa de 21/05/1995,21,6374622676112
26/03/2026,22:52,Táxi do Gugu,5. Arrancar Braço,5,6368324586112
26/03/2026,23:16,Programa do Ratinho,Programa de 19/09/1998,11,6376589457112
27/03/2026,00:07,Eliana & Cia,Programa de 24/10/1997,136,678cecd0-be08-4832-b5e3-90c5030fd17a
27/03/2026,00:46,Eliana & Cia,Programa de 27/10/1997,137,89bf8f83-8b8d-4abc-96d7-ab0d4a6547c9
27/03/2026,01:27,Programa Livre,Programa de 16/03/1993,83,35bbbcee-384d-49b8-8d28-0cd0489237d5
27/03/2026,02:26,Casos de Família,Programa de 10/07/2009,100,6376593820112
27/03/2026,03:19,"Canta e Dança, Minha Gente",Programa de 20/11/1999,Programa de 20/11/1999,6348923788112
27/03/2026,04:21,TV Animal,Programa de 06/06/1996,158,6366550152112
27/03/2026,04:56,Show do Milhão,Programa de 29/04/2001,180,418662bd-a763-4373-b2de-c0616378f251
27/03/2026,06:10,Gol Show,Programa de 07/12/1997,7,6365965246112
27/03/2026,07:03,Programa do Ratinho,Programa de 21/09/1998,12,6376587610112
27/03/2026,08:01,Eliana & Cia,Programa de 24/10/1997,136,678cecd0-be08-4832-b5e3-90c5030fd17a
27/03/2026,08:40,Eliana & Cia,Programa de 27/10/1997,137,89bf8f83-8b8d-4abc-96d7-ab0d4a6547c9
27/03/2026,09:22,Programa Livre,Programa de 16/03/1993,83,35bbbcee-384d-49b8-8d28-0cd0489237d5
27/03/2026,10:20,Casos de Família,Programa de 10/07/2009,100,6376593820112
27/03/2026,11:13,"Canta e Dança, Minha Gente",Programa de 20/11/1999,Programa de 20/11/1999,6348923788112
27/03/2026,12:15,TV Animal,Programa de 06/06/1996,158,6366550152112
27/03/2026,12:50,Show do Milhão,Programa de 29/04/2001,180,418662bd-a763-4373-b2de-c0616378f251
27/03/2026,14:04,Gol Show,Programa de 07/12/1997,7,6365965246112
27/03/2026,14:57,Programa do Ratinho,Programa de 21/09/1998,12,6376587610112
27/03/2026,16:01,Eliana & Cia,Programa de 24/10/1997,136,678cecd0-be08-4832-b5e3-90c5030fd17a
27/03/2026,16:40,Eliana & Cia,Programa de 27/10/1997,137,89bf8f83-8b8d-4abc-96d7-ab0d4a6547c9
27/03/2026,17:21,Programa Livre,Programa de 16/03/1993,83,35bbbcee-384d-49b8-8d28-0cd0489237d5
27/03/2026,18:20,Casos de Família,Programa de 10/07/2009,100,6376593820112
27/03/2026,19:13,"Canta e Dança, Minha Gente",Programa de 20/11/1999,Programa de 20/11/1999,6348923788112
27/03/2026,20:15,TV Animal,Programa de 06/06/1996,158,6366550152112
27/03/2026,20:49,Show do Milhão,Programa de 29/04/2001,180,418662bd-a763-4373-b2de-c0616378f251
27/03/2026,22:03,Gol Show,Programa de 07/12/1997,7,6365965246112
27/03/2026,22:57,Programa do Ratinho,Programa de 21/09/1998,12,6376587610112
28/03/2026,00:00,Eliana & Cia,Programa de 28/10/1997,138,f2217448-5d83-427c-8f46-72cd02739638
28/03/2026,00:34,Bom dia & Cia com Jacky ,Programa de 22/09/1998,2,6376019349112
28/03/2026,01:06,Show Maravilha,Programa de 02/05/1992,1256,6366375228112
28/03/2026,02:09,Programa Sergio Mallandro,Programa de 01/08/1995,37,6376025101112
28/03/2026,02:40,Casa da Angélica,Programa de 16/08/1994,20,6369845502112
28/03/2026,03:18,Fantasia,Programa de 21/01/1998,34,6376793878112
28/03/2026,05:29,Em Nome do Amor,Programa de 13/08/1995,33,6370480291112
28/03/2026,07:14,Viva a Noite,Programa de 06/01/1990,1,6352916212112
28/03/2026,08:14,Eliana & Cia,Programa de 28/10/1997,138,f2217448-5d83-427c-8f46-72cd02739638
28/03/2026,08:47,Bom dia & Cia com Jacky ,Programa de 22/09/1998,2,6376019349112
28/03/2026,09:20,Show Maravilha,Programa de 02/05/1992,1256,6366375228112
28/03/2026,10:22,Programa Sergio Mallandro,Programa de 01/08/1995,37,6376025101112
28/03/2026,10:54,Casa da Angélica,Programa de 16/08/1994,20,6369845502112
28/03/2026,11:31,Fantasia,Programa de 21/01/1998,34,6376793878112
28/03/2026,13:42,Em Nome do Amor,Programa de 13/08/1995,33,6370480291112
28/03/2026,15:27,Viva a Noite,Programa de 06/01/1990,1,6352916212112
28/03/2026,16:27,Eliana & Cia,Programa de 28/10/1997,138,f2217448-5d83-427c-8f46-72cd02739638
