Data,Hora,Programa,Episódio,Nº do episódio,Media
28/04/2026,02:36,Casos de Família,Programa de 14/08/2009,125,8c8740d2-bd79-447d-ad8f-681f0fc3acd8
28/04/2026,02:45,Passa ou Repassa,Programa de 20/11/1988,8,6349826682112
28/04/2026,03:39,Máquina da Fama,Programa de 28/07/2014,29,6375769273112
28/04/2026,04:37,Show do Milhão,Programa de 28/06/2001,203,a6f6dab4-3edc-4fa3-8303-d348d7feb5b6
28/04/2026,05:40,Sete Meio ,Programa de 13/07/2003,15,6376345843112
28/04/2026,06:42,Programa do Ratinho,Programa de 17/10/98,Episódio 34,98008609_programadoratinho_1998_034_01
28/04/2026,08:02,Eliana & Cia,Programa de 03/12/1997,164,69f7a099-e3fc-43eb-9a75-b7ed30adf15c
28/04/2026,08:38,Táxi do Gugu,60. A macacada,60,6368326437112
28/04/2026,08:52,Programa Livre,Programa de 28/09/1991,36,6350633467112
28/04/2026,09:51,Casos de Família,Programa de 14/08/2009,125,8c8740d2-bd79-447d-ad8f-681f0fc3acd8
28/04/2026,10:44,Passa ou Repassa,Programa de 20/11/1988,8,6349826682112
28/04/2026,11:37,Máquina da Fama,Programa de 28/07/2014,29,6375769273112
28/04/2026,12:35,Show do Milhão,Programa de 28/06/2001,203,a6f6dab4-3edc-4fa3-8303-d348d7feb5b6
28/04/2026,13:39,Sete Meio ,Programa de 13/07/2003,15,6376345843112
28/04/2026,14:41,Programa do Ratinho,Programa de 17/10/98,Episódio 34,98008609_programadoratinho_1998_034_01
28/04/2026,16:01,Eliana & Cia,Programa de 03/12/1997,164,69f7a099-e3fc-43eb-9a75-b7ed30adf15c
28/04/2026,16:37,Táxi do Gugu,60. A macacada,60,6368326437112
28/04/2026,16:51,Programa Livre,Programa de 28/09/1991,36,6350633467112
28/04/2026,17:50,Casos de Família,Programa de 14/08/2009,125,8c8740d2-bd79-447d-ad8f-681f0fc3acd8
28/04/2026,18:44,Passa ou Repassa,Programa de 20/11/1988,8,6349826682112
28/04/2026,19:37,Máquina da Fama,Programa de 28/07/2014,29,6375769273112
28/04/2026,20:35,Show do Milhão,Programa de 28/06/2001,203,a6f6dab4-3edc-4fa3-8303-d348d7feb5b6
28/04/2026,21:38,Sete Meio ,Programa de 13/07/2003,15,6376345843112
28/04/2026,22:41,Programa do Ratinho,Programa de 17/10/98,Episódio 34,98008609_programadoratinho_1998_034_01
29/04/2026,00:00,Eliana & Cia,Programa de 03/12/1997,164,69f7a099-e3fc-43eb-9a75-b7ed30adf15c
29/04/2026,00:37,Eliana & Cia,Programa de 04/12/1997,165,98b6fb5e-0783-4aea-8cc4-cf740cd51dba
29/04/2026,01:18,Programa Livre,Programa de 30/09/1991,37,6350632201112
29/04/2026,02:16,Casos de Família,Programa de 04/05/2009,1,6370518300112
29/04/2026,03:08,TV Animal,Programa de 04/12/1995,36,6366374330112
29/04/2026,03:41,Canta e Dança Minha Gente,Programa de 12/03/2000,7,6373060782112
29/04/2026,04:45,Show do Milhão,Programa de 01/07/2001,204,cb11ab13-f07a-42d0-8b41-f02c77b33e4c
29/04/2026,05:50,Porta da Esperança,Programa de 22/11/1987,15,6362545628112
29/04/2026,06:50,Programa do Ratinho,Programa de 19/10/98,Episódio 35,98008609_programadoratinho_1998_035_01
29/04/2026,08:01,Eliana & Cia,Programa de 03/12/1997,164,69f7a099-e3fc-43eb-9a75-b7ed30adf15c
29/04/2026,08:37,Eliana & Cia,Programa de 04/12/1997,165,98b6fb5e-0783-4aea-8cc4-cf740cd51dba
29/04/2026,09:19,Programa Livre,Programa de 30/09/1991,37,6350632201112
29/04/2026,10:18,Casos de Família,Programa de 04/05/2009,1,6370518300112
29/04/2026,11:10,TV Animal,Programa de 04/12/1995,36,6366374330112
29/04/2026,11:43,Canta e Dança Minha Gente,Programa de 12/03/2000,7,6373060782112
29/04/2026,12:47,Show do Milhão,Programa de 01/07/2001,204,cb11ab13-f07a-42d0-8b41-f02c77b33e4c
29/04/2026,13:52,Porta da Esperança,Programa de 22/11/1987,15,6362545628112
29/04/2026,14:52,Programa do Ratinho,Programa de 19/10/98,Episódio 35,98008609_programadoratinho_1998_035_01
29/04/2026,16:03,Eliana & Cia,Programa de 03/12/1997,164,69f7a099-e3fc-43eb-9a75-b7ed30adf15c
29/04/2026,16:39,Eliana & Cia,Programa de 04/12/1997,165,98b6fb5e-0783-4aea-8cc4-cf740cd51dba
29/04/2026,17:20,Programa Livre,Programa de 30/09/1991,37,6350632201112
29/04/2026,18:19,Casos de Família,Programa de 04/05/2009,1,6370518300112
29/04/2026,19:11,TV Animal,Programa de 04/12/1995,36,6366374330112
29/04/2026,19:44,Canta e Dança Minha Gente,Programa de 12/03/2000,7,6373060782112
29/04/2026,20:48,Show do Milhão,Programa de 01/07/2001,204,cb11ab13-f07a-42d0-8b41-f02c77b33e4c
29/04/2026,21:53,Porta da Esperança,Programa de 22/11/1987,15,6362545628112
29/04/2026,22:53,Programa do Ratinho,Programa de 19/10/98,Episódio 35,98008609_programadoratinho_1998_035_01
30/04/2026,00:04,Eliana & Cia,Programa de 05/12/1997,166,e13d09a8-bcf1-425f-9f6e-76fa21f90090
30/04/2026,00:41,Táxi do Gugu,9. Os pestinhas,9,6368326356112
30/04/2026,00:56,Programa Livre,Programa de 11/10/1991,46,6350632881112
30/04/2026,01:52,Casos de Família,Programa de 05/05/2009,2,6370519181112
30/04/2026,02:44,Passa ou Repassa,Programa de 08/12/1995,67,6366911678112
30/04/2026,03:13,Vamos Nessa,Programa de 15/06/1982,5,6375690391112
30/04/2026,04:21,Show do Milhão,Programa de 04/07/2001,205,b6e7dd26-9066-4996-91c4-815abd94aafa
30/04/2026,05:27,Tentação,Programa de 25/06/1995,26,6375500338112
30/04/2026,06:25,Programa do Ratinho,Programa de 20/10/98,Episódio 36,98008609_programadoratinho_1998_036_01
30/04/2026,08:00,Eliana & Cia,Programa de 05/12/1997,166,e13d09a8-bcf1-425f-9f6e-76fa21f90090
30/04/2026,08:37,Táxi do Gugu,9. Os pestinhas,9,6368326356112
30/04/2026,08:52,Programa Livre,Programa de 11/10/1991,46,6350632881112
30/04/2026,09:48,Casos de Família,Programa de 05/05/2009,2,6370519181112
30/04/2026,10:40,Passa ou Repassa,Programa de 08/12/1995,67,6366911678112
30/04/2026,11:09,Vamos Nessa,Programa de 15/06/1982,5,6375690391112
30/04/2026,12:17,Show do Milhão,Programa de 04/07/2001,205,b6e7dd26-9066-4996-91c4-815abd94aafa
30/04/2026,13:23,Tentação,Programa de 25/06/1995,26,6375500338112
30/04/2026,14:21,Programa do Ratinho,Programa de 20/10/98,Episódio 36,98008609_programadoratinho_1998_036_01
30/04/2026,16:00,Eliana & Cia,Programa de 05/12/1997,166,e13d09a8-bcf1-425f-9f6e-76fa21f90090
30/04/2026,16:37,Táxi do Gugu,9. Os pestinhas,9,6368326356112
30/04/2026,16:52,Programa Livre,Programa de 11/10/1991,46,6350632881112
30/04/2026,17:48,Casos de Família,Programa de 05/05/2009,2,6370519181112
30/04/2026,18:41,Passa ou Repassa,Programa de 08/12/1995,67,6366911678112
30/04/2026,19:10,Vamos Nessa,Programa de 15/06/1982,5,6375690391112
30/04/2026,20:18,Show do Milhão,Programa de 04/07/2001,205,b6e7dd26-9066-4996-91c4-815abd94aafa
30/04/2026,21:24,Tentação,Programa de 25/06/1995,26,6375500338112
30/04/2026,22:22,Programa do Ratinho,Programa de 20/10/98,Episódio 36,98008609_programadoratinho_1998_036_01
01/05/2026,00:05,Eliana & Cia,Programa de 21/04/1997,1,6366857979112
01/05/2026,00:28,Programa Livre,Programa de 28/10/1991,57,6352185289112
01/05/2026,01:27,Casos de Família,Programa de 06/05/2009,3,6370518899112
01/05/2026,02:20,TV Animal,Programa de 13/06/1996,163,6366549494112
01/05/2026,02:47,"Canta e Dança, Minha Gente",Programa de 09/04/2000,10,6373124091112_ARQUIVADO
