Data,Hora,Programa,Episódio,Nº do episódio,Media
16/05/2026,02:26,Fantasia,Programa de 02/02/1998,41,6377099552112
16/05/2026,04:10,Em Nome do Amor,Programa de 24/09/1995,39,6372107674112
16/05/2026,06:24,Viva a Noite,Programa de 18/08/1990,10,6364951425112
16/05/2026,08:19,Eliana & Cia,Programa de 07/05/1997,13,6366858463112
16/05/2026,08:42,Bom dia & Cia com Jacky ,Programa de 30/09/1998,8,6376085842112
16/05/2026,09:13,Casa da Angélica,Programa de 12/10/1994,26,6370291838112
16/05/2026,09:54,Programa Sergio Mallandro,Programa de 08/08/1995,43,d98a7726-0492-424c-bf1f-92ed66c5cb8f
16/05/2026,10:28,Fantasia,Programa de 02/02/1998,41,6377099552112
16/05/2026,12:29,Em Nome do Amor,Programa de 24/09/1995,39,6372107674112
16/05/2026,14:44,Eliana & Cia,Programa de 07/05/1997,13,6366858463112
16/05/2026,15:07,Bom dia & Cia com Jacky ,Programa de 30/09/1998,8,6376085842112
16/05/2026,15:38,Show Maravilha,Programa de 02/06/1993,1609,6367444647112
16/05/2026,16:47,Casa da Angélica,Programa de 12/10/1994,26,6370291838112
16/05/2026,17:28,Programa Sergio Mallandro,Programa de 08/08/1995,43,d98a7726-0492-424c-bf1f-92ed66c5cb8f
16/05/2026,18:02,Fantasia,Programa de 02/02/1998,41,6377099552112
16/05/2026,20:03,Em Nome do Amor,Programa de 24/09/1995,39,6372107674112
16/05/2026,22:18,Viva a Noite,Programa de 18/08/1990,10,6364951425112
17/05/2026,00:12,Táxi do Gugu,8. O Príncipe sapo,8,6368326357112
17/05/2026,00:31,Domingo no Parque,Programa de 10/11/1985,4,6366063278112
17/05/2026,01:11,Curtindo uma Viagem,Programa de 31/03/2002,38,6352179257112
17/05/2026,02:37,Domingo Legal,Programa de 19/12/1993,37,6370941285112
17/05/2026,05:26,Programa Silvio Santos,Programa de 13/07/2008,13,6370482907112
17/05/2026,08:19,Topa Tudo Por Dinheiro,Programa de 01/09/1991,18,db9aabb6-5f9e-442c-80e6-a8eb7e6a6a5d
