Data,Hora,Programa,Episódio,Nº do episódio,Media
10/05/2026,01:39,Eliana,Programa de 13/05/2012,20,6372226362112
10/05/2026,03:30,Domingo Legal,Programa de 14/05/1995,54,66ef51b1-eafd-4366-b3c5-6c909c6b325a
10/05/2026,07:13,Domingo Legal,Programa de 11/05/2014,134,72bc25d0-84d5-4f29-b721-3abd69331b32
10/05/2026,08:13,Domingo Legal,Programa de 14/05/1995,54,66ef51b1-eafd-4366-b3c5-6c909c6b325a
10/05/2026,11:51,Canta e Dança Minha Gente,Programa de 13/05/2001,19,6372121278112
10/05/2026,12:41,Hebe,Programa de 06/05/2002,18,6372385250112
10/05/2026,14:05,Especial Nossas Mães  ,Especial Nossas Mães  ,1,ESPECIAL DAS MAES_PGM001_EXIB06052022_UPLOAD
10/05/2026,15:32,Hebe,Programa de 03/05/2004,66,b32e8f9e-0877-48a5-8cd6-e7a12a24137a
10/05/2026,17:05,Sabadão Sertanejo,Programa de 08/05/1993,26,14c5c234-9915-4c74-bec4-0377102aabe0
10/05/2026,18:28,Especial Nossas Mães  ,Especial Nossas Mães  ,1,ESPECIAL DAS MAES_PGM001_EXIB06052022_UPLOAD
10/05/2026,19:56,Programa Raul Gil ,Programa de 11/05/2013,11,264dcab1-d0c0-44c1-bb2a-feba9d5b659b
10/05/2026,21:36,Sabadou com Virginia,Programa de 11/05/2024,58,a917b75d-e46c-4447-ae23-f8434e9a33ed
10/05/2026,23:10,Domingo Legal,Programa de 11/05/2014,134,72bc25d0-84d5-4f29-b721-3abd69331b32
11/05/2026,00:10,Eliana & Cia,Programa de 30/04/1997,8,6366858760112
11/05/2026,00:42,Programa Livre,Programa de 23/11/1991,77,6352187354112
11/05/2026,01:40,Casos de Família,Programa de 14/05/2009,9,6370518299112
11/05/2026,02:33,TV Animal,Programa de 15/01/1989,2,6351242659112
11/05/2026,03:22,Táxi do Gugu,113. A boneca,113,6368324482112
11/05/2026,03:48,Astros,Programa de 24/12/2008,38,6352184255112
11/05/2026,04:21,Show do Milhão,Programa de 19/07/2001,212,29f1aec9-dc51-48f6-b476-fe36564ba604
11/05/2026,05:30,Rei Majestade,Programa de 28/06/2006,Episódio 13,6370874288112
11/05/2026,06:51,Programa do Ratinho,Programa de 15/09/1998,7,6376299309112
11/05/2026,07:02,Programa do Ratinho,Programa de 16/09/1998,8,6376299404112
11/05/2026,08:11,Eliana & Cia,Programa de 29/04/1997,7,6366857881112
11/05/2026,08:28,Eliana & Cia,Programa de 30/04/1997,8,6366858760112
11/05/2026,09:00,Programa Livre,Programa de 23/11/1991,77,6352187354112
11/05/2026,09:58,Casos de Família,Programa de 14/05/2009,9,6370518299112
11/05/2026,10:51,TV Animal,Programa de 15/01/1989,2,6351242659112
11/05/2026,11:39,Táxi do Gugu,ET,23,07af3fb1-828f-46fc-abf5-39e1fa1c0726
11/05/2026,11:52,Astros,Programa de 24/12/2008,38,6352184255112
11/05/2026,12:25,Show do Milhão,Programa de 19/07/2001,212,29f1aec9-dc51-48f6-b476-fe36564ba604
11/05/2026,13:34,Rei Majestade,Programa de 28/06/2006,Episódio 13,6370874288112
