Data,Hora,Programa,Episódio,Nº do episódio,Media
04/04/2026,01:13,Show Maravilha,Programa de 12/10/1992,1392,6366375324112
04/04/2026,02:40,Programa Sergio Mallandro,Programa de 02/08/1995,38,6376022631112
04/04/2026,03:12,Casa da Angélica,Programa de 17/08/1994,21,6369845292112
04/04/2026,03:53,Fantasia,Programa de 23/01/1998,36,6376792811112
04/04/2026,06:04,Viva a Noite,Programa de 13/01/1990,2,6363640693112
04/04/2026,07:53,Eliana & Cia,Programa de 05/11/1997,144,4bd91724-ee13-400d-985b-04b48b3d6f8c
04/04/2026,08:28,Bom dia & Cia com Jacky ,Programa de 23/09/1998,3,6376020731112
04/04/2026,09:00,Show Maravilha,Programa de 12/10/1992,1392,6366375324112
04/04/2026,10:27,Programa Sergio Mallandro,Programa de 02/08/1995,38,6376022631112
04/04/2026,10:59,Casa da Angélica,Programa de 17/08/1994,21,6369845292112
04/04/2026,11:40,Fantasia,Programa de 23/01/1998,36,6376792811112
04/04/2026,13:52,Em Nome do Amor,Programa de 20/08/1995,34,6370479013112
04/04/2026,15:29,Eliana & Cia,Programa de 05/11/1997,144,4bd91724-ee13-400d-985b-04b48b3d6f8c
04/04/2026,16:04,Bom dia & Cia com Jacky ,Programa de 23/09/1998,3,6376020731112
04/04/2026,16:36,Show Maravilha,Programa de 12/10/1992,1392,6366375324112
04/04/2026,18:04,Programa Sergio Mallandro,Programa de 02/08/1995,38,6376022631112
04/04/2026,18:36,Casa da Angélica,Programa de 17/08/1994,21,6369845292112
04/04/2026,19:17,Fantasia,Programa de 23/01/1998,36,6376792811112
04/04/2026,21:28,Em Nome do Amor,Programa de 20/08/1995,34,6370479013112
04/04/2026,23:06,Viva a Noite,Programa de 13/01/1990,2,6363640693112
05/04/2026,00:55,Domingo no Parque,Programa de 13/03/1988,31,6367903865112
05/04/2026,02:09,Curtindo uma Viagem,Programa de 03/02/2002,30,6352181916112
05/04/2026,03:31,Domingo Legal,Programa de 07/11/1993,31,6365323195112
05/04/2026,06:30,Topa Tudo Por Dinheiro,Programa de 28/07/1991,18,6363256170112
05/04/2026,08:00,Programa Silvio Santos,Programa de 12/07/2009,28,6375210521112
05/04/2026,11:11,Show de Calouros,Programa de 17/04/1988,6,6372474694112
05/04/2026,12:24,Táxi do Gugu,34. A morte do cachorrinho,34,6368326539112
05/04/2026,12:30,Domingo no Parque,Programa de 13/03/1988,31,6367903865112
05/04/2026,13:45,Curtindo uma Viagem,Programa de 03/02/2002,30,6352181916112
05/04/2026,15:07,Domingo Legal,Programa de 07/11/1993,31,6365323195112
05/04/2026,18:06,Topa Tudo Por Dinheiro,Programa de 28/07/1991,18,6363256170112
05/04/2026,19:35,Programa Silvio Santos,Programa de 12/07/2009,28,6375210521112
05/04/2026,22:46,Show de Calouros,Programa de 17/04/1988,6,6372474694112
06/04/2026,00:00,Eliana & Cia,Programa de 06/11/1997,145,3a8c09d0-04ce-4d35-97c9-8737216b02c5
06/04/2026,00:37,Táxi do Gugu,18. A granada,18,6368326538112
06/04/2026,00:52,Programa Livre,Programa de 23/08/1991,5,6349825529112
06/04/2026,01:53,Casos de Família,Programa de 23/07/2009,109,62d2f6ba-615c-4b59-b5b3-b86507a33472
06/04/2026,02:46,Táxi do Gugu,O comilão ,22,c3d7252d-43f4-4f00-9522-8177e51260f0
06/04/2026,03:02,Astros,Programa de 19/11/2008,33,6352183555112
06/04/2026,03:50,TV Animal,Programa de 11/12/1988,7,6351241555112
06/04/2026,04:27,Show do Milhão,Programa de 13/05/2001,186,cac939e0-2a41-459a-aee9-eea80ee5d936
06/04/2026,05:36,Rei Majestade,Programa de 17/05/2006,7,6370874695112
06/04/2026,06:55,Programa do Ratinho,Programa de 28/09/98,18,98008609_programadoratinho_1998_017_01
06/04/2026,08:04,Eliana & Cia,Programa de 06/11/1997,145,3a8c09d0-04ce-4d35-97c9-8737216b02c5
06/04/2026,08:41,Táxi do Gugu,18. A granada,18,6368326538112
06/04/2026,08:56,Programa Livre,Programa de 23/08/1991,5,6349825529112
06/04/2026,09:57,Casos de Família,Programa de 23/07/2009,109,62d2f6ba-615c-4b59-b5b3-b86507a33472
06/04/2026,10:50,Táxi do Gugu,O comilão ,22,c3d7252d-43f4-4f00-9522-8177e51260f0
06/04/2026,11:05,Astros,Programa de 19/11/2008,33,6352183555112
06/04/2026,11:54,TV Animal,Programa de 11/12/1988,7,6351241555112
06/04/2026,12:31,Show do Milhão,Programa de 13/05/2001,186,cac939e0-2a41-459a-aee9-eea80ee5d936
06/04/2026,13:40,Rei Majestade,Programa de 17/05/2006,7,6370874695112
06/04/2026,14:59,Programa do Ratinho,Programa de 28/09/98,18,98008609_programadoratinho_1998_017_01
06/04/2026,16:07,Eliana & Cia,Programa de 06/11/1997,145,3a8c09d0-04ce-4d35-97c9-8737216b02c5
06/04/2026,16:45,Táxi do Gugu,18. A granada,18,6368326538112
06/04/2026,16:59,Programa Livre,Programa de 23/08/1991,5,6349825529112
06/04/2026,18:00,Casos de Família,Programa de 23/07/2009,109,62d2f6ba-615c-4b59-b5b3-b86507a33472
06/04/2026,18:54,Táxi do Gugu,O comilão ,22,c3d7252d-43f4-4f00-9522-8177e51260f0
06/04/2026,19:09,Astros,Programa de 19/11/2008,33,6352183555112
06/04/2026,19:58,TV Animal,Programa de 11/12/1988,7,6351241555112
06/04/2026,20:35,Show do Milhão,Programa de 13/05/2001,186,cac939e0-2a41-459a-aee9-eea80ee5d936
06/04/2026,21:43,Rei Majestade,Programa de 17/05/2006,7,6370874695112
06/04/2026,23:03,Programa do Ratinho,Programa de 28/09/98,18,98008609_programadoratinho_1998_017_01
07/04/2026,00:11,Eliana & Cia,Programa de 07/11/1997,146,843c739f-40ba-4739-9711-2aa717d5c9f4
07/04/2026,00:55,Programa Livre,Programa de 26/08/1991,6,6349825116112
07/04/2026,01:59,Casos de Família,Programa de 24/07/2009,110,3426f212-fb3b-4cab-8e5b-b4f97ce7816e
07/04/2026,02:52,Máquina da Fama,Programa de 07/07/2014,26,6375768298112
07/04/2026,03:51,Passa ou Repassa,Programa de 10/07/1988,16,6348754055112
07/04/2026,04:59,Show do Milhão,Programa de 16/05/2001,187,72f6fa25-4dde-44e8-837e-8eed2719599e
07/04/2026,06:10,Sete Meio,Programa de 29/06/2003,Episódio 13,6376344308112
07/04/2026,07:11,Programa do Ratinho,Programa de 29/09/98,18,98008609_programadoratinho_1998_018_01
07/04/2026,08:01,Eliana & Cia,Programa de 07/11/1997,146,843c739f-40ba-4739-9711-2aa717d5c9f4
07/04/2026,08:44,Programa Livre,Programa de 26/08/1991,6,6349825116112
07/04/2026,09:49,Casos de Família,Programa de 24/07/2009,110,3426f212-fb3b-4cab-8e5b-b4f97ce7816e
07/04/2026,10:42,Máquina da Fama,Programa de 07/07/2014,26,6375768298112
07/04/2026,11:41,Passa ou Repassa,Programa de 10/07/1988,16,6348754055112
07/04/2026,12:48,Show do Milhão,Programa de 16/05/2001,187,72f6fa25-4dde-44e8-837e-8eed2719599e
07/04/2026,13:59,Sete Meio,Programa de 29/06/2003,Episódio 13,6376344308112
07/04/2026,15:00,Programa do Ratinho,Programa de 29/09/98,18,98008609_programadoratinho_1998_018_01
07/04/2026,15:50,Táxi do Gugu,28. Mala de dinheiro,28,6368325363112
07/04/2026,16:01,Eliana & Cia,Programa de 07/11/1997,146,843c739f-40ba-4739-9711-2aa717d5c9f4
07/04/2026,16:44,Programa Livre,Programa de 26/08/1991,6,6349825116112
07/04/2026,17:49,Casos de Família,Programa de 24/07/2009,110,3426f212-fb3b-4cab-8e5b-b4f97ce7816e
07/04/2026,18:42,Máquina da Fama,Programa de 07/07/2014,26,6375768298112
07/04/2026,19:41,Passa ou Repassa,Programa de 10/07/1988,16,6348754055112
07/04/2026,20:49,Show do Milhão,Programa de 16/05/2001,187,72f6fa25-4dde-44e8-837e-8eed2719599e
07/04/2026,21:59,Sete Meio,Programa de 29/06/2003,Episódio 13,6376344308112
07/04/2026,23:00,Programa do Ratinho,Programa de 29/09/98,18,98008609_programadoratinho_1998_018_01
07/04/2026,23:50,Táxi do Gugu,28. Mala de dinheiro,28,6368325363112
08/04/2026,00:01,Eliana & Cia,Programa de 07/11/1997,146,843c739f-40ba-4739-9711-2aa717d5c9f4
08/04/2026,00:40,Eliana & Cia,Programa de 10/11/1997,147,5432de85-8af1-4f75-a227-bc732e024b98
08/04/2026,01:22,Programa Livre,Programa de 27/08/1991,7,6349825531112
08/04/2026,02:28,Casos de Família,Programa de 27/07/2009,111,a3979c9e-e0f4-44b7-8263-9c498ffc89f4
08/04/2026,03:20,Canta e Dança Minha Gente,Programa de 01/01/2000,1,6349825970112
08/04/2026,03:55,TV Animal,Programa de 22/11/1995,33,6366374918112
08/04/2026,04:40,Show do Milhão,Programa de 17/05/2001,188,801b0019-ecd0-4083-87eb-6461317ddf25
08/04/2026,05:47,Porta da Esperança,Programa de 09/08/1987,12,6362545030112
08/04/2026,07:03,Programa do Ratinho,Programa de 30/09/98,19,98008609_programadoratinho_1998_019_01
08/04/2026,08:02,Eliana & Cia,Programa de 07/11/1997,146,843c739f-40ba-4739-9711-2aa717d5c9f4
08/04/2026,08:40,Eliana & Cia,Programa de 10/11/1997,147,5432de85-8af1-4f75-a227-bc732e024b98
08/04/2026,09:23,Programa Livre,Programa de 27/08/1991,7,6349825531112
08/04/2026,10:29,Casos de Família,Programa de 27/07/2009,111,a3979c9e-e0f4-44b7-8263-9c498ffc89f4
08/04/2026,11:21,Canta e Dança Minha Gente,Programa de 01/01/2000,1,6349825970112
08/04/2026,11:55,TV Animal,Programa de 22/11/1995,33,6366374918112
08/04/2026,12:41,Show do Milhão,Programa de 17/05/2001,188,801b0019-ecd0-4083-87eb-6461317ddf25
08/04/2026,13:47,Porta da Esperança,Programa de 09/08/1987,12,6362545030112
08/04/2026,15:04,Programa do Ratinho,Programa de 30/09/98,19,98008609_programadoratinho_1998_019_01
08/04/2026,16:02,Eliana & Cia,Programa de 07/11/1997,146,843c739f-40ba-4739-9711-2aa717d5c9f4
08/04/2026,16:41,Eliana & Cia,Programa de 10/11/1997,147,5432de85-8af1-4f75-a227-bc732e024b98
08/04/2026,17:23,Programa Livre,Programa de 27/08/1991,7,6349825531112
08/04/2026,18:29,Casos de Família,Programa de 27/07/2009,111,a3979c9e-e0f4-44b7-8263-9c498ffc89f4
08/04/2026,19:21,Canta e Dança Minha Gente,Programa de 01/01/2000,1,6349825970112
08/04/2026,19:56,TV Animal,Programa de 22/11/1995,33,6366374918112
08/04/2026,20:41,Show do Milhão,Programa de 17/05/2001,188,801b0019-ecd0-4083-87eb-6461317ddf25
08/04/2026,21:48,Porta da Esperança,Programa de 09/08/1987,12,6362545030112
08/04/2026,23:04,Programa do Ratinho,Programa de 30/09/98,19,98008609_programadoratinho_1998_019_01
09/04/2026,00:03,Eliana & Cia,Programa de 10/11/1997,147,5432de85-8af1-4f75-a227-bc732e024b98
09/04/2026,00:45,Eliana & Cia,Programa de 11/11/1997,148,285c8ab6-49f7-42ba-8ecf-f67a21437745
09/04/2026,01:20,Programa Livre,Programa de 28/08/1991,8,6349824921112
09/04/2026,02:26,Casos de Família,Programa de 28/07/2009,112,7d0b0045-20e4-462c-b642-6e0f68851d66
09/04/2026,03:19,Vamos Nessa,Programa de 26/01/1985,20,d5da91e0-fad9-444b-b05f-01b8c999965e
09/04/2026,04:02,Passa ou Repassa,Programa de 05/12/1995,64,6366911488112
09/04/2026,04:31,Táxi do Gugu,Gugu demitido ,24,c73b2d09-9ec4-4ecb-9509-cc6639bdc686
09/04/2026,04:51,Show do Milhão,Programa de 20/05/2001,189,aa8a376c-7de2-43a0-ba19-6337bdbd94da
09/04/2026,05:56,Tentação,Programa de 04/06/1995,23,6374622276112
09/04/2026,06:41,Táxi do Gugu,O escapamento,21,83a5bf88-48fb-47fe-8d7f-6720e4a2c20b
09/04/2026,06:58,Programa do Ratinho,Programa de 01/10/98,Episódio 20,98008609_programadoratinho_1998_020_01
09/04/2026,08:02,Eliana & Cia,Programa de 10/11/1997,147,5432de85-8af1-4f75-a227-bc732e024b98
09/04/2026,08:44,Eliana & Cia,Programa de 11/11/1997,148,285c8ab6-49f7-42ba-8ecf-f67a21437745
09/04/2026,09:19,Programa Livre,Programa de 28/08/1991,8,6349824921112
09/04/2026,10:25,Casos de Família,Programa de 28/07/2009,112,7d0b0045-20e4-462c-b642-6e0f68851d66
09/04/2026,11:18,Vamos Nessa,Programa de 26/01/1985,20,d5da91e0-fad9-444b-b05f-01b8c999965e
09/04/2026,12:01,Passa ou Repassa,Programa de 05/12/1995,64,6366911488112
09/04/2026,12:30,Táxi do Gugu,Gugu demitido ,24,c73b2d09-9ec4-4ecb-9509-cc6639bdc686
09/04/2026,12:50,Show do Milhão,Programa de 20/05/2001,189,aa8a376c-7de2-43a0-ba19-6337bdbd94da
09/04/2026,13:55,Tentação,Programa de 04/06/1995,23,6374622276112
09/04/2026,14:40,Táxi do Gugu,O escapamento,21,83a5bf88-48fb-47fe-8d7f-6720e4a2c20b
09/04/2026,14:57,Programa do Ratinho,Programa de 01/10/98,Episódio 20,98008609_programadoratinho_1998_020_01
09/04/2026,16:02,Eliana & Cia,Programa de 10/11/1997,147,5432de85-8af1-4f75-a227-bc732e024b98
09/04/2026,16:44,Eliana & Cia,Programa de 11/11/1997,148,285c8ab6-49f7-42ba-8ecf-f67a21437745
09/04/2026,17:20,Programa Livre,Programa de 28/08/1991,8,6349824921112
09/04/2026,18:25,Casos de Família,Programa de 28/07/2009,112,7d0b0045-20e4-462c-b642-6e0f68851d66
