Data,Hora,Programa,Episódio,Nº do episódio,Media
19/04/2026,02:04,Curtindo uma Viagem,Programa de 24/02/2002,33,6352181250112
19/04/2026,03:10,Domingo Legal,Programa de 21/11/1993,33,6370022825112
19/04/2026,06:03,Topa Tudo Por Dinheiro,Programa de 11/08/1991,15,6367902539112
19/04/2026,07:53,Programa Silvio Santos,Programa de 26/10/2008,28,6366066471112
19/04/2026,11:09,Show de Calouros,Programa de 19/06/1988,8,6372474607112
19/04/2026,12:22,Táxi do Gugu,O comilão ,22,c3d7252d-43f4-4f00-9522-8177e51260f0
19/04/2026,12:38,Domingo no Parque,Programa de 08/05/1988,33,6367902640112
19/04/2026,13:26,Curtindo uma Viagem,Programa de 24/02/2002,33,6352181250112
19/04/2026,14:51,Domingo Legal,Programa de 21/11/1993,33,6370022825112
19/04/2026,17:44,Topa Tudo Por Dinheiro,Programa de 11/08/1991,15,6367902539112
19/04/2026,19:34,Programa Silvio Santos,Programa de 26/10/2008,28,6366066471112
19/04/2026,22:49,Show de Calouros,Programa de 19/06/1988,8,6372474607112
20/04/2026,00:03,Táxi do Gugu,Motorista dorminhoco ,20,c9efc111-b066-459d-8368-48a9fd40a93a
20/04/2026,00:10,Eliana & Cia,Programa de 21/11/1997,156,011d6312-4e33-49b7-89c3-11196c8dbea4
20/04/2026,01:21,Programa Livre,Programa de 06/09/1991,15,6350631414112
20/04/2026,02:22,Casos de Família,Programa de 06/08/2009,119,abd3f24d-67a4-44f9-badd-686b5e2dc6d9
20/04/2026,03:15,Astros,Programa de 03/12/2008,35,6352182962112
20/04/2026,03:46,TV Animal,Programa de 25/12/1988,8,6351244311112
20/04/2026,04:27,Show do Milhão,Programa de 14/06/2001,197,3fc7af68-2a12-4004-93b4-bbbd79f23cf1
20/04/2026,05:29,Rei Majestade,Programa de 07/06/2006,10,6370874290112
20/04/2026,06:43,Programa do Ratinho,Programa de 10/10/98,Episódio 28,98008609_programadoratinho_1998_028_01
20/04/2026,08:07,Eliana & Cia,Programa de 21/11/1997,156,011d6312-4e33-49b7-89c3-11196c8dbea4
20/04/2026,09:18,Programa Livre,Programa de 06/09/1991,15,6350631414112
20/04/2026,10:20,Casos de Família,Programa de 06/08/2009,119,abd3f24d-67a4-44f9-badd-686b5e2dc6d9
20/04/2026,11:12,Astros,Programa de 03/12/2008,35,6352182962112
20/04/2026,11:44,TV Animal,Programa de 25/12/1988,8,6351244311112
